0x004C8FA0 "Script_PickupBagFromSlot"
0x004C8FF0 "Script_CursorCanGoInSlot"
0x004C90B0 "Script_ShowInventorySellCursor"
0x004C9150 "Script_SetInventoryPortaitTexture"
0x004C9330 "Script_GetGuildInfo"
0x004C94B0 "Script_GetInventoryAlertStatus"
0x004C9560 "Script_UpdateInventoryAlertStatus"
0x004C9570 "Script_OffhandHasWeapon"
0x004C95E0 "Script_HasInspectHonorData"
0x004C9610 "Script_RequestInspectHonorData"
0x004C9620 "Script_GetInspectHonorData"
0x004C9780 "Script_ClearInspectPlayer"
0x004C9790 "Script_GetWeaponEnchantInfo"
0x004C99A0 "Script_HasWandEquipped"
0x004CA570 "Script_IsInMeetingStoneQueue"
0x004CA5A0 "Script_CancelMeetingStoneRequest"
0x004CA5B0 "Script_GetMeetingStoneStatusText"
0x004CAE40 "Script_ClosePetStables"
0x004CAE50 "Script_StablePet"
0x004CAF20 "Script_UnstablePet"
0x004CB080 "Script_BuyStableSlot"
0x004CB1D0 "Script_GetNumStablePets"
0x004CB200 "Script_GetNumStableSlots"
0x004CB230 "Script_GetStablePetInfo"
0x004CB3D0 "Script_GetNextStableSlotCost"
0x004CB420 "Script_ClickStablePet"
